Date,Equity,Cash,RunningMax,DrawdownPct,CD_5Pct,S&P500_SPY,EqualWeight_RSP,Balanced_60_40
2019-04-10,191524.8771008544,1350.2896908812595,193289.91804071952,-0.9131572705686986,116166.63747285139,163195.25670192513,154469.0094114626,144668.19102229446
2019-04-11,192319.8100976043,1350.2896908812595,193289.91804071952,-0.5018926765289811,116189.13087770877,163149.89253516076,154671.58385233002,144574.82870906236
2019-04-12,193903.17815104057,1350.2896908812595,193903.17815104057,0.0,116211.62863797552,164253.76030138004,155915.76745536723,145049.79526931862
2019-04-15,193234.5678471618,1350.2896908812595,193903.17815104057,-0.3448165781779866,116234.130754495,164146.2785909181,155481.7574284279,144982.12274779848
2019-04-16,193498.61132517387,1350.2896908812595,193903.17815104057,-0.2086437312293854,116256.63722811069,164253.76030138004,155539.62874368305,144937.28704838
2019-04-17,193175.00393763115,1350.2896908812595,193903.17815104057,-0.37553495530754377,116279.14805966626,163851.88962843758,154628.19278462583,144719.1455904464
2019-04-18,193465.93366684485,235.04088558722287,193903.17815104057,-0.22549629581374298,116301.66325000554,164174.54513327804,154989.85124875905,144965.1431291608
2019-04-22,193908.65225090552,235.04088558722287,193908.65225090552,0.0,116324.18279997256,164316.08821853224,154599.23228952393,144970.46200105865
2019-04-23,195343.95116390754,235.04088558722287,195343.95116390754,0.0,116346.70671041142,165793.521865615,156031.52250461475,145854.52188884132
2019-04-24,194777.97071423102,235.04088558722287,195343.95116390754,-0.2897353341653308,116369.2349821665,165425.57869344827,155988.1065994362,145794.99868222885
2019-04-25,194376.4313805938,861.9966243147937,195343.95116390754,-0.4952903724681601,116391.76761608223,165323.7005668236,155076.64580290465,145735.79019319947
2019-04-26,195429.90357049706,861.9966243147937,195429.90357049706,0.0,116414.30461300329,166093.57178651134,156017.01741958942,146261.17260526193
2019-04-29,196031.03750249624,1033.0016243147936,196031.03750249624,0.0,116436.84597377446,166353.97587363762,156002.57442825,146296.5297525897
2019-04-30,197227.81595307303,1796.4287021727696,197227.81595307303,0.0,116459.39169924073,166438.87112501496,156523.39142807206,146379.0598424019
2019-05-01,195504.04676609946,1796.4287021727696,197227.81595307303,-0.8739990242470186,116481.94179024726,165187.87581456374,154946.44776231766,145927.2699183007
2019-05-02,193990.84910374595,1796.4287021727696,197227.81595307303,-1.6412324162719871,116504.49624763934,164831.15893493098,154960.92800986866,145608.98728534018
2019-05-03,195606.36089211417,1796.4287021727696,197227.81595307303,-0.8221229105658479,116527.05507226242,166444.51295857123,156349.77748230658,146561.04054542902
2019-05-06,194245.20804863883,1796.4287021727696,197227.81595307303,-1.512265341489083,116549.61826496213,165759.57523997984,155611.94305027765,146274.93676459262
2019-05-07,190923.73237019492,1796.4287021727696,197227.81595307303,-3.196346089629698,116572.18582658429,162991.44307409725,153109.09559665227,144879.37352639547
2019-05-08,190421.6696556182,1796.4287021727696,197227.81595307303,-3.4509058798654624,116594.75775797483,162764.9664877467,152863.11766934348,144747.92608498046
2019-05-09,189840.80360680533,1893.5537021727696,197227.81595307303,-3.7454211570366436,116617.33405997987,162272.50135529207,152675.08556971294,144517.1358277932
2019-05-10,191067.25681454613,2081.81370217277,197227.81595307303,-3.1235751959007185,116639.91473344572,163087.67936716563,153340.56843893573,144963.38164111334
2019-05-13,186525.35032898857,2081.81370217277,197227.81595307303,-5.426448380197513,116662.49977921881,158989.288910581,149521.17340072984,142873.65576514218
2019-05-14,188256.20539223624,2175.61370217277,197227.81595307303,-4.548856619175579,116685.08919814572,160427.08628632352,150996.85468352487,143696.15963290312
2019-05-15,188579.2662166076,2321.38970217277,197227.81595307303,-4.385055776576275,116707.6829910733,161366.78625848494,151474.2557781684,144301.40757122796
2019-05-16,190799.47930098107,2374.9247021727697,197227.81595307303,-3.2593458590148727,116730.28115884845,162861.20278081507,152501.47162394747,145034.47630299174
2019-05-17,190104.36191320946,2374.9247021727697,197227.81595307303,-3.611789749554639,116752.88370231824,161808.32189005695,151488.73602571935,144487.88070540343
2019-05-20,189357.21460772087,2374.9247021727697,197227.81595307303,-3.9906142586017546,116775.49062232999,160738.4198743324,150533.85932400922,143835.13073191917
2019-05-21,190884.11465900374,2513.9871899409445,197227.81595307303,-3.216433373464256,116798.10191973113,162187.58697905525,152154.2437324165,144607.92227649176
2019-05-22,189857.11256072953,2542.7871899409447,197227.81595307303,-3.7371520628191934,116820.7175953692,161689.4417633254,151387.47364276,144437.09014987617
2019-05-23,187521.6594597621,2623.9871899409445,197227.81595307303,-4.921291880867528,116843.33765009203,159713.78640107467,149492.25016183942,143547.69372293065
2019-05-24,187342.79083984328,2623.9871899409445,197227.81595307303,-5.011983256754071,116865.96208474752,160076.13555183393,149767.11407182706,143764.1066209829
2019-05-28,185284.31954830122,2623.9871899409445,197227.81595307303,-6.055685577136627,116888.59090018373,158587.28436362202,148132.27425334317,143045.90090573757
2019-05-29,184224.74430244399,2623.9871899409445,197227.81595307303,-6.592919760224336,116911.22409724894,157523.12936818108,147119.5759113266,142485.6576917932
2019-05-30,184717.28356174042,3134.282280002133,197227.81595307303,-6.34318862726203,116933.86167679157,157953.28570834297,147351.0239161357,142869.91028688944
2019-05-31,183297.74213752127,3036.185411065597,197227.81595307303,-7.0629356960816185,116956.5036396602,155824.8418434445,145672.81786742195,141980.02724213604
2019-06-03,183975.96084079123,3036.185411065597,197227.81595307303,-6.71905990959959,116979.14998670356,155428.61300405834,146511.9146824102,142059.47814132823
2019-06-04,187420.0754539466,2421.726064870376,197227.81595307303,-4.972797803257134,117001.80071877055,158802.43903314104,149796.04972945462,143858.20107045403
2019-06-05,189806.59920712616,2431.85126420166,197227.81595307303,-3.7627637410499126,117024.45583671029,160178.00411602887,150982.3992734482,144574.57079325148
2019-06-06,190747.6992235141,1889.8472557025161,197227.81595307303,-3.2855998015517085,117047.11534137197,161219.58221481496,151734.68911555372,145128.14377672778
2019-06-07,192199.3131656604,1889.8472557025161,197227.81595307303,-2.5495910721888615,117069.77923360505,162832.9362384552,152718.48905615427,146162.79165035838
2019-06-10,192635.64428927947,1916.877255702516,197227.81595307303,-2.32835903069889,117092.44751425905,163580.1827493393,153195.87773206062,146411.86670782173
2019-06-11,192798.6361782794,1916.877255702516,197227.81595307303,-2.245717599918806,117115.1201841837,163540.53691556928,153036.71919637176,146379.94652972225
2019-06-12,192487.93647816803,1463.14406350281,197227.81595307303,-2.4032510079778913,117137.79724422893,163251.84716122356,152848.67467800406,146299.29076787256
